repo,status,workflow_count,workflow_file,destination_path,size_bytes,error
0xpayne/gpt-migrate,no_workflow_yaml,0,,,,
101dotxyz/GPTeam,no_workflow_yaml,0,,,,
AntonOsika/gpt-engineer,no_workflow_yaml,0,,,,
AutoPackAI/beebot,no_workflow_yaml,0,,,,
BloopAI/bloop,no_workflow_yaml,0,,,,
CR-Gjx/Suspicion-Agent,no_workflow_yaml,0,,,,
Canner/WrenAI,no_workflow_yaml,0,,,,
DataBassGit/AgentForge,no_workflow_yaml,0,,,,
FOLLGAD/Godmode-GPT,no_workflow_yaml,0,,,,
Farama-Foundation/chatarena,no_workflow_yaml,0,,,,
FlowiseAI/Flowise,no_workflow_yaml,0,,,,
HumanSignal/Adala,no_workflow_yaml,0,,,,
Kav-K/GPTDiscord,no_workflow_yaml,0,,,,
KillianLucas/open-interpreter,no_workflow_yaml,0,,,,
LehengTHU/Agent4Rec,no_workflow_yaml,0,,,,
MineDojo/Voyager,no_workflow_yaml,0,,,,
Oneirocom/Magick,no_workflow_yaml,0,,,,
OpenBMB/AgentVerse,no_workflow_yaml,0,,,,
OpenBMB/ChatDev,no_workflow_yaml,0,,,,
OpenBMB/XAgent,no_workflow_yaml,0,,,,
OpenDevin/OpenDevin,no_workflow_yaml,0,,,,
OthersideAI/self-operating-computer,no_workflow_yaml,0,,,,
PromtEngineer/localGPT,no_workflow_yaml,0,,,,
Pythagora-io/gpt-pilot,no_workflow_yaml,0,,,,
RubricLab/maige,no_workflow_yaml,0,,,,
Significant-Gravitas/Auto-GPT,no_workflow_yaml,0,,,,
TaxyAI/browser-extension,no_workflow_yaml,0,,,,
Technion-Kishony-lab/data-to-paper,no_workflow_yaml,0,,,,
TheoLvs/westworld,no_workflow_yaml,0,,,,
TheoLvs/westworldjs,no_workflow_yaml,0,,,,
agiresearch/OpenAGI,no_workflow_yaml,0,,,,
airtai/fastagency,no_workflow_yaml,0,,,,
aiwaves-cn/agents,no_workflow_yaml,0,,,,
ajhous44/cody,no_workflow_yaml,0,,,,
amirrezasalimi/friday,no_workflow_yaml,0,,,,
apps/use-tusk,gigawork_failed,0,,,,"INFO:gigawork.repository:Cloning repository at 'https://github.com/apps/use-tusk.git'
ERROR:gigawork.repository:Could not clone repository at 'https://github.com/apps/use-tusk.git'
ERROR:gigawork.main:Could not read repository at 'https://github.com/apps/use-tusk.git'
"
assafelovic/gpt-researcher,no_workflow_yaml,0,,,,
biobootloader/mentat,no_workflow_yaml,0,,,,
blob42/Instrukt,no_workflow_yaml,0,,,,
calcom/cal.com,no_workflow_yaml,0,,,,
camel-ai/camel,no_workflow_yaml,0,,,,
codefuse-ai/codefuse-chatbot,no_workflow_yaml,0,,,,
codeintegrity-ai/mutahunter,no_workflow_yaml,0,,,,
composable-models/llm_multiagent_debate,no_workflow_yaml,0,,,,
continuedev/continue,no_workflow_yaml,0,,,,
cpacker/MemGPT,no_workflow_yaml,0,,,,
dot-agent/dotagent,no_workflow_yaml,0,,,,
dzoba/gptrpg,no_workflow_yaml,0,,,,
e2b-dev/awesome-sdks-for-ai-agents,no_workflow_yaml,0,,,,
e2b-dev/e2b,no_workflow_yaml,0,,,,
e2b-dev/e2b-cookbook,no_workflow_yaml,0,,,,
eidolon-ai/eidolon,no_workflow_yaml,0,,,,
emrgnt-cmplxty/Automata,no_workflow_yaml,0,,,,
emrgnt-cmplxty/automata,no_workflow_yaml,0,,,,
ennucore/clippy,no_workflow_yaml,0,,,,
entropy-research/Devon,no_workflow_yaml,0,,,,
eumemic/ai-legion,no_workflow_yaml,0,,,,
eylonmiz/react-agent,no_workflow_yaml,0,,,,
farizrahman4u/loopgpt,no_workflow_yaml,0,,,,
felixbrock/lemon-agent,no_workflow_yaml,0,,,,
fjrdomingues/autopilot,no_workflow_yaml,0,,,,
geekan/MetaGPT,no_workflow_yaml,0,,,,
genia-dev/GeniA,no_workflow_yaml,0,,,,
getcursor/cursor,no_workflow_yaml,0,,,,
gmpetrov/databerry,no_workflow_yaml,0,,,,
homanp/superagent,no_workflow_yaml,0,,,,
imartinez/privateGPT,no_workflow_yaml,0,,,,
irgolic/AutoPR,no_workflow_yaml,0,,,,
jbexta/AgentPilot,no_workflow_yaml,0,,,,
jina-ai/dev-gpt,no_workflow_yaml,0,,,,
joaomdmoura/CrewAI,no_workflow_yaml,0,,,,
joaomdmoura/crewAI,no_workflow_yaml,0,,,,
joaomdmoura/crewai,no_workflow_yaml,0,,,,
kreneskyp/ix,no_workflow_yaml,0,,,,
krohling/bondai,no_workflow_yaml,0,,,,
kuafuai/DevOpsGPT,no_workflow_yaml,0,,,,
langroid/langroid,no_workflow_yaml,0,,,,
linyiLYi/street-fighter-ai,no_workflow_yaml,0,,,,
markeljan/web3gpt,no_workflow_yaml,0,,,,
mczhuge/NLSOM,no_workflow_yaml,0,,,,
melih-unsal/DemoGPT,no_workflow_yaml,0,,,,
memfreeme/memfree,no_workflow_yaml,0,,,,
metauto-ai/GPTSwarm,no_workflow_yaml,0,,,,
microsoft/JARVIS,no_workflow_yaml,0,,,,
microsoft/UFO,no_workflow_yaml,0,,,,
microsoft/autogen,no_workflow_yaml,0,,,,
mpaepper/llm_agents,no_workflow_yaml,0,,,,
muellerberndt/mini-agi,no_workflow_yaml,0,,,,
myshell-ai/AIlice,no_workflow_yaml,0,,,,
nicepkg/gpt-runner,no_workflow_yaml,0,,,,
paul-gauthier/aider,no_workflow_yaml,0,,,,
pezzolabs/pezzo,no_workflow_yaml,0,,,,
pgalko/BambooAI,no_workflow_yaml,0,,,,
pj4533/yourgoal,no_workflow_yaml,0,,,,
polywrap/evo.ninja,no_workflow_yaml,0,,,,
princeton-nlp/SWE-agent,no_workflow_yaml,0,,,,
proficientai/js,no_workflow_yaml,0,,,,
reworkd/AgentGPT,no_workflow_yaml,0,,,,
rumpfmax/Multi-GPT,no_workflow_yaml,0,,,,
samholt/l2mac,no_workflow_yaml,0,,,,
satellitecomponent/Neurite,no_workflow_yaml,0,,,,
saten-private/BabyCommandAGI,no_workflow_yaml,0,,,,
seahyinghang8/blinky,no_workflow_yaml,0,,,,
seanpixel/Teenage-AGI,no_workflow_yaml,0,,,,
smol-ai/developer,no_workflow_yaml,0,,,,
sourcegraph/sourcegraph,gigawork_failed,0,,,,"INFO:gigawork.repository:Cloning repository at 'https://github.com/sourcegraph/sourcegraph.git'
ERROR:gigawork.repository:Could not clone repository at 'https://github.com/sourcegraph/sourcegraph.git'
ERROR:gigawork.main:Could not read repository at 'https://github.com/sourcegraph/sourcegraph.git'
"
stackwiseai/stackwise,no_workflow_yaml,0,,,,
stepanogil/autonomous-hr-chatbot,no_workflow_yaml,0,,,,
stitionai/devika,no_workflow_yaml,0,,,,
team-openpm/workgpt,no_workflow_yaml,0,,,,
topoteretes/PromethAI-Backend,no_workflow_yaml,0,,,,
trypromptly/LLMStack,no_workflow_yaml,0,,,,
uilicious/english-compiler,no_workflow_yaml,0,,,,
ur-whitelab/chemcrow-public,no_workflow_yaml,0,,,,
vanna-ai/vanna,no_workflow_yaml,0,,,,
xeol-io/bumpgen,no_workflow_yaml,0,,,,
xlang-ai/OpenAgents,no_workflow_yaml,0,,,,
yeagerai/yeagerai-agent,no_workflow_yaml,0,,,,
yoheinakajima/babyagi,no_workflow_yaml,0,,,,
zabirauf/AutoGPT.js,no_workflow_yaml,0,,,,
